580,581,568,565,578,574,574,562,582,567,563,580,579,578,576,576,584,574,582,566,557,586,580,570,572,583,577,586,573,587,572,582,580,586,586,583,581,576,585,585,584,585,588,585,580,584,580,577,577,573
579,581,568,564,578,574,573,562,582,567,563,580,579,578,576,576,584,574,582,566,556,585,580,570,572,583,577,586,572,587,572,582,580,587,586,583,580,575,584,585,583,585,588,585,580,583,579,577,576,572
579,580,568,564,578,574,573,562,582,567,563,580,579,578,575,575,584,573,581,567,555,584,579,570,571,583,577,585,572,586,571,582,581,586,586,582,579,575,584,585,583,585,588,584,580,583,579,577,576,571
578,579,567,563,578,573,573,561,582,566,562,580,579,578,575,575,583,573,581,567,554,583,579,569,571,583,577,585,571,585,571,582,580,586,586,581,579,575,583,585,583,584,587,584,580,583,579,577,575,571
578,578,566,563,578,573,573,561,582,566,562,579,579,579,575,575,583,573,580,567,553,582,578,568,570,583,576,584,571,584,570,581,580,586,585,581,578,575,582,585,582,583,587,584,579,583,578,577,574,571
577,578,566,562,578,572,572,560,581,565,561,579,579,579,574,574,582,572,579,567,552,581,577,568,570,582,576,583,570,583,568,580,580,585,585,580,578,574,582,584,582,582,585,584,579,582,575,576,574,571
577,576,564,562,578,572,572,560,580,565,561,578,579,579,574,574,581,571,579,567,551,580,576,567,569,581,575,582,569,582,567,579,579,584,584,579,577,573,582,584,581,580,584,583,579,582,573,576,573,570
576,575,563,561,578,572,571,559,580,564,560,576,578,578,573,574,580,571,578,567,550,578,574,566,568,580,574,581,568,581,566,578,578,582,583,577,576,572,581,583,580,579,582,583,577,581,569,575,572,569
575,573,561,561,579,572,570,558,580,563,559,575,577,578,572,573,578,570,577,567,549,575,571,565,566,579,573,580,567,580,565,576,577,581,582,576,575,570,581,582,578,577,581,581,576,580,566,573,571,568
573,571,558,560,579,571,570,557,579,562,557,574,576,577,571,573,576,569,576,567,547,573,569,564,565,578,571,578,565,578,564,574,575,580,581,575,573,569,580,581,577,575,579,579,575,578,563,572,570,568
572,569,555,558,580,570,570,556,578,560,556,573,575,576,569,572,574,567,575,567,546,570,567,563,564,577,570,577,564,576,563,573,574,578,579,573,572,568,579,580,575,573,578,577,573,576,560,570,569,567
570,568,553,557,580,569,570,555,577,559,555,572,574,575,568,572,573,565,573,566,545,568,564,562,562,575,568,575,562,574,563,571,572,577,576,572,571,567,577,578,574,570,576,575,572,575,557,568,567,566
568,566,551,556,580,569,571,555,575,557,554,571,572,575,566,571,571,563,572,565,545,566,562,561,561,573,566,573,561,572,562,569,570,575,574,571,569,565,576,577,573,568,574,573,570,573,555,565,566,565
566,565,549,555,580,569,571,554,574,556,552,570,570,574,565,570,570,560,571,564,544,564,560,559,559,572,564,571,559,570,561,567,568,573,571,569,568,564,574,576,571,566,572,571,569,571,552,562,564,563
565,563,547,553,581,569,570,553,572,554,551,568,569,573,564,568,568,557,569,563,544,562,557,558,558,570,562,568,557,568,560,565,566,571,568,567,567,562,571,574,569,563,569,569,567,569,549,560,562,562
563,562,545,552,581,570,570,552,570,552,549,566,567,573,563,566,567,554,567,562,543,560,555,558,556,569,560,566,556,566,559,563,563,569,566,566,567,561,569,573,568,562,568,567,566,568,547,558,560,560
561,560,543,551,582,570,569,551,568,550,547,565,565,572,561,564,566,552,565,562,542,557,553,557,554,567,558,564,553,564,558,561,561,566,565,565,566,559,567,571,566,559,566,565,564,566,545,555,558,557
559,558,541,549,582,571,569,549,566,548,545,564,564,571,560,562,566,550,563,561,541,555,551,555,552,566,556,563,551,561,557,559,560,564,563,563,565,557,565,569,564,558,564,562,563,564,542,553,556,555
558,556,539,548,582,571,568,548,564,547,543,563,562,570,559,560,565,548,561,559,539,553,549,554,550,564,554,561,549,559,556,556,558,563,561,562,564,555,563,567,562,556,563,560,561,562,540,551,554,554
556,554,537,546,583,572,567,546,562,544,542,562,560,570,558,557,565,545,559,558,538,550,547,552,548,562,551,560,547,557,555,554,556,561,560,561,562,553,561,564,560,554,561,558,560,560,539,549,552,552
555,552,535,545,583,572,566,545,560,542,540,561,558,569,557,556,565,544,558,556,536,548,545,550,546,560,549,558,545,556,554,552,554,560,558,560,561,552,560,562,559,552,558,556,558,557,537,547,549,550
553,551,534,543,584,572,565,543,558,540,539,560,556,568,556,553,565,542,555,554,536,546,543,548,544,558,547,557,542,554,553,549,552,558,557,559,560,550,558,561,557,550,556,554,556,555,536,545,547,548
551,549,532,542,584,571,564,541,556,538,537,558,555,568,553,551,564,541,554,553,534,544,541,546,542,557,546,555,540,553,552,547,551,557,556,558,559,549,556,559,555,549,554,551,554,553,534,543,546,546
549,547,531,541,584,571,562,539,555,536,535,556,553,567,552,549,563,541,552,551,532,541,540,545,539,555,543,553,537,551,551,545,549,556,554,556,558,548,555,558,553,548,552,549,552,551,533,541,544,545
547,546,530,539,584,570,560,536,554,534,533,555,551,566,550,547,562,540,550,549,531,539,538,543,537,554,542,552,535,549,550,543,547,554,553,555,556,546,554,556,552,547,550,548,551,549,532,540,542,543
545,545,529,537,583,569,558,534,552,532,531,554,550,565,548,545,561,540,548,546,530,537,536,542,535,552,540,550,533,548,549,542,545,553,552,554,555,545,552,555,550,545,549,546,549,548,531,539,541,542
543,544,528,536,583,567,556,531,550,530,530,552,548,564,546,543,560,539,546,544,529,536,535,540,533,550,538,549,531,547,548,540,543,551,551,553,553,544,551,554,549,545,548,545,548,547,529,538,540,541
541,543,527,534,581,566,554,529,548,528,528,551,546,562,545,542,558,539,545,542,528,536,534,538,531,548,536,547,529,545,547,538,541,549,550,551,552,543,550,553,548,543,546,544,547,546,528,537,539,540
538,541,525,533,580,564,553,526,547,526,527,549,544,561,543,539,557,539,544,540,527,535,532,536,529,546,535,545,527,544,546,537,540,548,549,551,550,542,548,551,546,542,545,543,545,546,527,536,537,538
536,540,524,531,578,562,551,525,545,524,525,548,542,560,542,537,556,538,543,538,526,535,531,535,527,544,533,544,526,543,545,535,539,547,547,549,549,541,547,550,545,541,543,542,544,545,527,535,536,537
534,538,522,529,576,560,549,523,543,522,523,546,540,559,541,536,554,538,543,537,525,534,530,533,526,542,532,543,525,542,543,534,538,546,546,548,547,540,546,548,544,540,541,541,543,545,526,535,535,536
532,537,521,528,574,558,547,521,541,521,522,545,538,558,540,534,553,537,542,535,525,534,528,531,524,541,530,542,524,541,542,533,536,545,545,547,546,538,544,547,543,538,540,539,542,545,526,534,533,535
530,536,519,526,572,555,544,519,540,519,520,543,536,556,539,532,552,536,542,534,524,534,527,530,523,539,529,541,522,541,540,532,535,544,543,545,545,538,543,545,541,538,539,538,540,544,525,534,532,534
528,534,519,525,570,552,542,518,538,517,518,541,534,555,538,531,551,535,541,533,523,534,526,528,522,538,527,541,522,540,538,531,534,544,542,544,543,537,543,544,540,537,538,537,539,544,525,534,532,533
526,533,519,523,568,550,540,517,536,516,518,540,532,554,536,529,550,535,540,532,524,534,525,527,522,537,526,540,522,539,537,530,533,543,541,543,542,536,542,543,539,536,537,536,538,544,524,534,531,533
