580,581,568,565,578,574,574,562,582,567,563,580,579,578,576,576,584,574,582,566
579,581,568,564,578,574,573,562,582,567,563,580,579,578,576,576,584,574,582,566
579,580,568,564,578,574,573,562,582,567,563,580,579,578,575,575,584,573,581,567
578,579,567,563,578,573,573,561,582,566,562,580,579,578,575,575,583,573,581,567
578,578,566,563,578,573,573,561,582,566,562,579,579,579,575,575,583,573,580,567
577,578,566,562,578,572,572,560,581,565,561,579,579,579,574,574,582,572,579,567
577,576,564,562,578,572,572,560,580,565,561,578,579,579,574,574,581,571,579,567
576,575,563,561,578,572,571,559,580,564,560,576,578,578,573,574,580,571,578,567
575,573,561,561,579,572,570,558,580,563,559,575,577,578,572,573,578,570,577,567
573,571,558,560,579,571,570,557,579,562,557,574,576,577,571,573,576,569,576,567
572,569,555,558,580,570,570,556,578,560,556,573,575,576,569,572,574,567,575,567
570,568,553,557,580,569,570,555,577,559,555,572,574,575,568,572,573,565,573,566
568,566,551,556,580,569,571,555,575,557,554,571,572,575,566,571,571,563,572,565
566,565,549,555,580,569,571,554,574,556,552,570,570,574,565,570,570,560,571,564
565,563,547,553,581,569,570,553,572,554,551,568,569,573,564,568,568,557,569,563
563,562,545,552,581,570,570,552,570,552,549,566,567,573,563,566,567,554,567,562
561,560,543,551,582,570,569,551,568,550,547,565,565,572,561,564,566,552,565,562
559,558,541,549,582,571,569,549,566,548,545,564,564,571,560,562,566,550,563,561
558,556,539,548,582,571,568,548,564,547,543,563,562,570,559,560,565,548,561,559
556,554,537,546,583,572,567,546,562,544,542,562,560,570,558,557,565,545,559,558
555,552,535,545,583,572,566,545,560,542,540,561,558,569,557,556,565,544,558,556
553,551,534,543,584,572,565,543,558,540,539,560,556,568,556,553,565,542,555,554
551,549,532,542,584,571,564,541,556,538,537,558,555,568,553,551,564,541,554,553
549,547,531,541,584,571,562,539,555,536,535,556,553,567,552,549,563,541,552,551
547,546,530,539,584,570,560,536,554,534,533,555,551,566,550,547,562,540,550,549
545,545,529,537,583,569,558,534,552,532,531,554,550,565,548,545,561,540,548,546
543,544,528,536,583,567,556,531,550,530,530,552,548,564,546,543,560,539,546,544
541,543,527,534,581,566,554,529,548,528,528,551,546,562,545,542,558,539,545,542
538,541,525,533,580,564,553,526,547,526,527,549,544,561,543,539,557,539,544,540
536,540,524,531,578,562,551,525,545,524,525,548,542,560,542,537,556,538,543,538
534,538,522,529,576,560,549,523,543,522,523,546,540,559,541,536,554,538,543,537
532,537,521,528,574,558,547,521,541,521,522,545,538,558,540,534,553,537,542,535
530,536,519,526,572,555,544,519,540,519,520,543,536,556,539,532,552,536,542,534
528,534,519,525,570,552,542,518,538,517,518,541,534,555,538,531,551,535,541,533
526,533,519,523,568,550,540,517,536,516,518,540,532,554,536,529,550,535,540,532
524,531,519,522,566,548,538,516,534,515,516,539,530,553,535,527,548,534,539,530
523,530,519,520,564,545,535,515,533,514,516,538,528,551,533,526,547,533,538,528
522,530,518,520,562,542,534,515,532,514,515,536,527,549,532,524,546,532,537,527
521,530,517,519,559,539,532,515,530,513,516,535,525,547,531,523,544,530,536,525
520,529,516,520,557,537,530,514,529,512,516,534,523,546,529,521,542,528,535,525
